,DistrictA,DistrictB,distance_between,spatial_relation
554,D11,D35,40935.63659572902,western
555,D11,D36,16038.505584516894,western
556,D11,D37,37200.74185943928,western
557,D11,D38,0.0,western
558,D11,D39,26576.421942250956,western
559,D11,D40,44884.65703771486,western
560,D11,D41,10116.488096949337,southwestern
561,D11,D42,0.0,western
562,D11,D43,10870.143562278821,western
563,D11,D44,26735.521140679706,western
564,D11,D45,20217.568315615667,western
565,D11,D46,13926.41720497952,northwestern
566,D11,D47,6651.268431413416,northwestern
567,D11,D48,37610.449859860906,northwestern
568,D11,D49,4200.4143903491495,northwestern
569,D11,D50,57386.75534708747,northern
570,D11,D51,42862.82067877762,northeastern
571,D11,D52,20421.352756030912,northern
572,D12,D1,17375.611458890624,eastern
573,D12,D2,1522.4200220267032,western
574,D12,D3,53165.9627137227,southeastern
575,D12,D4,0.0,southern
576,D12,D5,0.0,western
577,D12,D6,34983.38177550164,southern
578,D12,D7,2604.612932653796,southeastern
579,D12,D8,13505.167675778228,southern
580,D12,D9,7547.531960430746,northeastern
581,D12,D10,0.0,eastern
582,D12,D11,0.0,southwestern
583,D12,D12,0.0,western
584,D12,D13,79320.17878539223,eastern
585,D12,D14,96650.1498845825,northeastern
586,D12,D15,56544.29216372664,eastern
587,D12,D16,69362.62873689496,southern
588,D12,D17,87827.94256260202,eastern
589,D12,D18,81578.81072822145,northeastern
590,D12,D19,49700.4017612854,northeastern
591,D12,D20,60563.13074891282,southern
592,D12,D21,52230.57092167539,southwestern
593,D12,D22,97914.37444186698,southwestern
594,D12,D23,75310.97259077676,southern
595,D12,D24,75264.66775820436,western
596,D12,D25,52163.15396437687,southern
597,D12,D26,77587.18855970744,southwestern
598,D12,D27,19648.259143253665,southern
599,D12,D28,32380.812125813572,southwestern
600,D12,D29,44484.35238055432,southwestern
601,D12,D30,81670.899148431,southwestern
602,D12,D31,26059.059811006224,southwestern
603,D12,D32,35897.236675234366,southwestern
604,D12,D33,16818.36649430617,southwestern
605,D12,D34,45560.37390552491,western
606,D12,D35,54772.88306729571,western
607,D12,D36,25830.96577569664,western
608,D12,D37,54489.586104480644,western
609,D12,D38,13664.832167869445,western
610,D12,D39,30856.136543048127,western
611,D12,D40,62514.22787556384,western
612,D12,D41,32785.984149719814,southwestern
613,D12,D42,17353.043186386127,southwestern
614,D12,D43,24988.64279257915,western
615,D12,D44,44645.58458533877,southwestern
616,D12,D45,33206.384327144224,western
617,D12,D46,21182.258826841182,western
618,D12,D47,10433.375807850998,western
619,D12,D48,27992.018725288697,northwestern
620,D12,D49,0.0,northwestern
621,D12,D50,44068.263481695365,northern
622,D12,D51,28386.119864632015,northern
623,D12,D52,7232.605480504208,northern
624,D13,D1,27175.148250837694,southwestern
625,D13,D2,100153.53404484068,western
626,D13,D3,75135.55117856732,southwestern
627,D13,D4,92459.81496275404,southwestern
628,D13,D5,99793.88775134254,western
629,D13,D6,77588.62573123058,southern
630,D13,D7,72765.59389305649,southwestern
631,D13,D8,21507.020408928063,southern
632,D13,D9,50547.26304226461,western
633,D13,D10,64588.249558701835,western
634,D13,D11,96007.57346386336,western
635,D13,D12,79320.17878539223,western
636,D13,D13,0.0,western
637,D13,D14,0.0,northwestern
638,D13,D15,0.0,southwestern
639,D13,D16,0.0,southern
640,D13,D17,0.0,southeastern
641,D13,D18,0.0,northwestern
642,D13,D19,0.0,western
643,D13,D20,158258.0002411445,southern
644,D13,D21,147106.86210309883,southwestern
645,D13,D22,197673.25923778323,southwestern
646,D13,D23,161115.81399902492,southern
647,D13,D24,176269.14304121173,western
648,D13,D25,133156.13214753178,southwestern
649,D13,D26,177973.2899419631,southwestern
650,D13,D27,109955.07895094996,southwestern
651,D13,D28,126994.22234566759,southwestern
652,D13,D29,140851.82484002836,southwestern
653,D13,D30,175208.3382499415,southwestern
654,D13,D31,121183.59553998591,southwestern
655,D13,D32,136503.75838958233,western
656,D13,D33,115047.7025421649,western
657,D13,D34,146528.75671769964,western
658,D13,D35,143935.59585964432,western
659,D13,D36,125222.56210364171,western
660,D13,D37,154414.61587649724,western
661,D13,D38,114936.01176479114,western
662,D13,D39,117244.65761905929,western
663,D13,D40,164086.60070518928,western
664,D13,D41,130830.86310113718,southwestern
665,D13,D42,117887.37436881088,western
666,D13,D43,126145.55517895483,western
667,D13,D44,146211.09381214847,western
668,D13,D45,132007.359497766,western
669,D13,D46,116911.04443132182,western
670,D13,D47,108876.52383751515,western
671,D13,D48,92775.53185834116,western
672,D13,D49,85247.48715818043,western
673,D13,D50,44385.59909420003,western
674,D13,D51,57240.14725878567,western
675,D13,D52,63509.603694790785,western
676,D14,D1,68436.93991039856,southern
677,D14,D2,113198.08119159596,southwestern
678,D14,D3,114466.22821075593,southern
679,D14,D4,114145.72515472297,southwestern
680,D14,D5,114250.98570654007,southwestern
681,D14,D6,112263.45925917046,southern
682,D14,D7,97209.65638372088,southwestern
683,D14,D8,53442.09928575093,southern
684,D14,D9,71848.79591127664,southwestern
685,D14,D10,79945.18306800794,southwestern
686,D14,D11,114857.1942479782,southwestern
687,D14,D12,96650.1498845825,southwestern
688,D14,D13,0.0,southeastern
689,D14,D14,0.0,western
690,D14,D15,33113.409099345736,southern
691,D14,D16,14185.471924092219,southern
